,AusDiab,CoLaus,DILGOM,ELSA_B,ELSA_UK,FMC,Golestan,HOORN,KOGES,MTC,SMC,SUN,Whitehall,Zutphen,WHI,ARIC,CARDIA,PRHHP,MESA,InterAct_netherlands,InterAct_spain,InterAct_sweden,InterAct_uk
AGE_BASE,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
TYPE_DIAB,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
PREV_DIAB,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
CASE_OBJ_SELF,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
CASE_OBJ,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
FUP_OBJ,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
FUP_OBJ_SELF,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
SEX,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
BMI,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
EDUCATION,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
SMOKING,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
PA,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
ALCOHOL,1,1,,1,,,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
FAM_DIAB,1,1,,1,,1,,1,,,1,,1,1,1,1,1,1,,1,,1,1
COMORBIDITY,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
E_INTAKE,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
COV_FRUIT,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
COV_VEG,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
COV_FIBER,,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,,1,1
COV_MEAT,1,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
COV_SUG_BEVS,,1,,1,,1,1,1,,,1,,1,1,1,1,1,1,1,,,,
WAIST,1,1,,1,,,1,1,,,1,,1,,1,1,1,,1,1,1,1,1
BERRIES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CITRUS_MELONS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTHER_FRUITS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEAFY_VEG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TOMATOES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YELLOW_VEG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GREEN_VEG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CRUCI_VEG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ONIONS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OTHER_VEG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGUMES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SOY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POTATOES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRIES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NUTS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BUTTER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MARGARINE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WHOLE_MILK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HF_DAIRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MLF_DAIRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ICE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHEESE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LF_CHEESE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EGGS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POULTRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RED_MEAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PROC_MEAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HAMBURGER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OFFALS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FISH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SHELLFISH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WHOLE_GRAIN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
REFINED_GRAIN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PASTA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RICE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
REFINED_CEREALS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WHOLE_CEREALS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PIZZA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAKE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SUGAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CONFECT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAYO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KETCHUP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COFFEE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SUGAR_DRINKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LOW_SUGAR_DRINKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TEN_PERCENT_MISSING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
